                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.65108,                 1.1811,                0.64048,                0.94955,                0.81993,                   0.73,                0.82663,                0.67001,                0.71816,                   0.66,                0.71338,                0.42338,                0.75677,                 1.1833,                0.79205,                 1.0616,             0.00036324,             0.00036324,             0.00036324
                     82,                0.57619,                 1.0786,                0.57063,                 0.9251,                0.72253,                0.78361,                0.82123,                0.65724,                0.75205,                0.61831,                0.71172,                0.41816,                0.77295,                 1.1975,                0.80172,                  1.081,             0.00034674,             0.00034674,             0.00034674
                     83,                0.54255,                  0.997,                0.56829,                0.90803,                0.72248,                0.76593,                0.80256,                0.63155,                 0.6531,                0.70632,                0.72057,                0.41569,                0.80532,                 1.2055,                0.87464,                 1.1208,             0.00033023,             0.00033023,             0.00033023
                     84,                0.59545,                 1.0956,                 0.5837,                 0.9358,                0.71461,                0.80263,                 0.8173,                0.63744,                0.63468,                   0.75,                0.72717,                0.41606,                0.80151,                 1.2334,                0.85497,                   1.11,             0.00031373,             0.00031373,             0.00031373
                     85,                0.58373,                 1.0525,                0.53938,                0.92147,                0.72894,                0.81967,                0.84322,                0.65357,                0.67926,                0.69193,                0.72758,                0.42841,                0.80128,                 1.2495,                0.79873,                 1.0982,             0.00029723,             0.00029723,             0.00029723
                     86,                0.57031,                 1.0772,                0.55194,                 0.9335,                0.75803,                 0.8184,                0.86005,                0.66647,                0.74645,                 0.6577,                   0.72,                0.41276,                0.78482,                 1.2772,                 0.7651,                 1.0938,             0.00028072,             0.00028072,             0.00028072
                     87,                0.55118,                 1.0674,                0.51981,                0.91486,                0.73468,                   0.81,                0.85974,                0.66052,                0.67019,                    0.7,                0.70712,                0.41501,                0.79454,                 1.2788,                0.77703,                 1.0976,             0.00026422,             0.00026422,             0.00026422
                     88,                0.56677,                 1.0398,                0.53174,                0.90722,                0.79611,                0.74749,                0.84716,                0.64829,                0.69992,                0.65183,                0.69393,                 0.4135,                0.81166,                 1.2661,                0.76341,                 1.1017,             0.00024772,             0.00024772,             0.00024772
                     89,                0.56102,                0.97469,                0.53007,                 0.9191,                0.76397,                0.79454,                0.84125,                0.65359,                0.67363,                0.71566,                0.71179,                0.41585,                0.79241,                 1.2406,                 0.7595,                 1.0883,             0.00023121,             0.00023121,             0.00023121
                     90,                0.55928,                 1.0856,                 0.5557,                 0.9146,                0.80267,                0.77869,                0.85267,                0.66597,                0.72579,                0.70728,                0.74464,                0.42972,                0.78731,                 1.2174,                0.72651,                 1.0861,             0.00021471,             0.00021471,             0.00021471
                     91,                0.46228,                0.81465,                0.43602,                0.87443,                0.82425,                0.81683,                0.87044,                0.68691,                0.74488,                 0.7469,                0.77511,                 0.4437,                0.77623,                 1.1963,                0.70645,                 1.0877,             0.00019821,             0.00019821,             0.00019821
                     92,                  0.446,                0.81406,                0.42425,                0.86628,                0.79099,                   0.84,                0.86842,                0.69547,                 0.7568,                0.71871,                0.75419,                0.43965,                0.75184,                  1.196,                0.69388,                 1.0815,              0.0001817,              0.0001817,              0.0001817
                     93,                0.42802,                0.78446,                0.37742,                0.85685,                0.78908,                   0.84,                0.86618,                0.68678,                 0.7163,                   0.77,                0.77737,                0.44011,                0.76484,                 1.1875,                0.69417,                 1.0877,              0.0001652,              0.0001652,              0.0001652
                     94,                0.43986,                0.78899,                0.37825,                0.84953,                0.79679,                   0.85,                0.86027,                0.67605,                 0.7175,                   0.78,                0.76803,                0.44399,                0.78761,                 1.2071,                0.69107,                  1.105,              0.0001487,              0.0001487,              0.0001487
                     95,                0.43219,                0.74701,                0.37687,                 0.8651,                0.80939,                0.80258,                0.86268,                0.68065,                0.77021,                   0.71,                0.76284,                0.44658,                0.78228,                 1.2103,                0.70096,                 1.1008,             0.00013219,             0.00013219,             0.00013219
                     96,                0.41062,                0.74671,                0.35213,                0.82589,                0.71791,                   0.86,                0.86361,                0.68293,                0.77709,                   0.69,                0.73771,                0.43608,                0.77005,                 1.2281,                0.72265,                 1.0964,             0.00011569,             0.00011569,             0.00011569
                     97,                0.40877,                0.74106,                0.36296,                0.83783,                0.72356,                   0.87,                0.86727,                0.69245,                0.79269,                0.69784,                0.75353,                0.43835,                0.75381,                  1.223,                0.70435,                 1.0877,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.39797,                0.75958,                0.34616,                0.83746,                0.73503,                   0.87,                0.86896,                0.69737,                0.73086,                0.70906,                0.73732,                0.44246,                0.73989,                 1.2127,                0.68534,                 1.0769,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 0.3948,                0.72157,                  0.337,                0.84474,                0.74233,                0.86409,                0.86924,                0.69797,                0.69655,                0.72319,                0.73819,                0.44262,                 0.7421,                 1.2197,                0.67984,                 1.0839,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.38998,                0.71866,                0.33757,                0.84208,                  0.754,                   0.85,                0.86546,                0.68774,                0.70672,                   0.71,                0.73358,                0.43671,                0.74261,                 1.2204,                0.68966,                 1.0831,             4.9677e-05,             4.9677e-05,             4.9677e-05
